X,AUC,N,P,p.adj,PermPval,Carnivora,Cetacean,Combination,ratio,Category,Source,SelectionSignal,GWASSignal,Type
MTCL1,-0.168206332,114,0.029229861,0.184076608,0.02761595,5.108,0.3976,0.8725,0.1708,NA,NA,NA,NA,All
MTCP1,NA,NA,NA,NA,NA,0.5535,0.3829,0.4891,0.8837,NA,NA,NA,NA,All
MTDH,-0.058460872,90,0.501744038,0.762357918,0.326828535,0.2319,0.2581,0.2794,1.083,NA,NA,NA,NA,All
MTERF1,0.047191966,108,0.551763564,0.792894935,0.430508428,0.6393,0.3503,0.2403,0.3758,NA,NA,NA,NA,All
MTERF2,0.155071501,99,0.06138422,0.274788895,0.040034189,0.4386,0.2492,0.8588,1.958,NA,NA,NA,NA,All
MTERF3,-0.201932737,109,0.010513244,0.102907558,0.072558946,0.7472,0.4167,4.079,5.46,NA,NA,NA,NA,All
MTF1,0.004837039,97,0.953949709,0.983259337,0.986966752,0.214,0.2337,0.2264,0.9686,NA,NA,NA,NA,All
MTF2,0.104334406,50,0.375796261,0.674187568,0.391473178,0.3979,0.4408,0.2952,0.6697,NA,NA,NA,NA,All
MTFMT,0.166955901,113,0.03120226,0.190933878,0.006908449,0.3682,0.7123,3.654,5.13,NA,NA,NA,NA,All
MTFP1,0.016596537,67,0.869798257,0.950751034,0.950180078,0.5352,0.3293,0.2949,0.5509,NA,NA,NA,NA,All
MTFR1,-0.134725548,103,0.097230341,0.348837417,0.144811853,0.3724,0.2296,0.4065,1.092,NA,NA,NA,NA,All
MTFR1L,-0.070274138,57,0.523150453,0.775234066,0.899074092,0.3798,0.2748,0.3404,0.8963,NA,NA,NA,NA,All
MTFR2,-0.008400802,111,0.914449892,0.9661393,0.875956672,1.416,2.464,0.223,0.09051,NA,NA,NA,NA,All
MTG1,-0.077178831,102,0.344487601,0.648386861,0.090018042,0.2695,0.2768,0.3494,1.263,NA,NA,NA,NA,All
MTG2,0.21165326,111,0.006798206,0.0805359,0.03404779,349.9,0.469,6.949,0.01986,NA,NA,NA,NA,All
MTHFD1,-0.160513024,113,0.038326891,0.213132789,0.2246465,0.242,3.953,1.372,0.3472,NA,NA,NA,NA,All
MTHFD1L,-0.020955962,118,0.782203883,0.911745204,0.694854395,0.2763,0.2042,0.284,1.028,NA,NA,NA,NA,All
MTHFD2,0.036537794,84,0.685270332,0.865623052,0.878084244,0.4842,4.235,0.2654,0.06266,NA,NA,NA,NA,All
MTHFD2L,0.095151903,96,0.258480371,0.570851241,0.313748924,1.244,0.2177,0.7154,0.5749,NA,NA,NA,NA,All
MTHFR,0.054411861,108,0.492607906,0.757578822,0.449207633,0.7745,26.12,0.2575,0.00986,NA,NA,NA,NA,All
MTHFS,0.342883778,76,0.000302513,0.011775211,0.008699006,800.8,1.016,74.83,0.09344,NA,NA,NA,NA,All
MTHFSD,0.152132012,112,0.050662406,0.247927307,0.310878863,0.6929,0.4456,1.772,2.558,NA,NA,NA,NA,All
MTIF2,0.050710671,112,0.514760714,0.769880645,0.692414568,2.264,0.7754,0.2784,0.1229,NA,NA,NA,NA,All
MTIF3,-0.027859016,107,0.72659485,0.88646191,0.62435368,0.2216,0.3248,0.2634,0.8109,NA,NA,NA,NA,All
MTM1,-0.052441048,76,0.580538928,0.806462852,0.884134788,0.2828,0.2728,0.3458,1.223,NA,NA,NA,NA,All
MTMR1,0.347549134,85,0.000105111,0.005710076,0.011526124,1.146,0.4689,14.7,12.83,NA,NA,NA,NA,All
MTMR10,0.020762698,104,0.797298918,0.919562806,0.606514414,0.4382,0.3662,0.2163,0.4935,NA,NA,NA,NA,All
MTMR11,0.178002176,113,0.021617034,0.156720691,0.152297669,43.21,0.4171,3.031,0.07015,NA,NA,NA,NA,All
MTMR12,-0.256691427,103,0.001578797,0.033848148,0.013653161,0.3643,3.094,8.07,2.609,NA,NA,NA,NA,All
MTMR14,-0.146667852,77,0.119728688,0.389704075,0.091439034,0.4094,1.042,0.7412,0.7116,NA,NA,NA,NA,All
MTMR2,0.023123776,56,0.835087183,0.935330607,0.887753129,0.3492,0.2877,0.2862,0.8195,NA,NA,NA,NA,All
MTMR3,-0.174044088,116,0.022840479,0.160594718,0.64745448,0.599,0.4733,4.307,7.19,NA,NA,NA,NA,All
