X,AUC,N,P,p.adj,PermPval,Carnivora,Cetacean,Combination,ratio,Category,Source,SelectionSignal,GWASSignal,Type
SLAMF7,-0.146386156,119,0.052451506,0.252495519,0.105222149,0.2048,3.705,0.6382,0.1722,NA,NA,NA,NA,All
SLAMF8,0.224508824,97,0.007355067,0.08412472,0.161479694,11.05,0.2137,17.24,1.561,NA,NA,NA,NA,All
SLAMF9,0.27580496,90,0.001528837,0.03301318,0.024025289,41.12,NA,41.12,NA,NA,NA,NA,NA,All
SLBP,-0.085656004,72,0.380006347,0.677707379,0.633577962,0.347,0.2662,0.4117,1.186,NA,NA,NA,NA,All
SLC10A1,-0.20839028,93,0.014892809,0.126094875,0.045142076,0.2711,1.52,1.785,1.174,NA,NA,NA,NA,All
SLC10A2,-0.148221088,107,0.062839711,0.278944288,0.017039644,0.3141,0.2845,1.21,3.853,NA,NA,NA,NA,All
SLC10A3,-0.023832474,108,0.763763715,0.903369311,0.8892891,0.2286,0.2293,0.2051,0.8944,NA,NA,NA,NA,All
SLC10A5,0.044410379,72,0.648994123,0.846742792,0.949021823,NA,0.2431,0.2482,NA,NA,NA,NA,NA,All
SLC10A6,-0.347098382,110,9.95218576802366e-06,0.001214684,0.131044744,9.529,4.161,427.9,44.91,NA,NA,NA,NA,All
SLC10A7,-0.056124235,78,0.548944412,0.791393117,0.67382739,0.7379,0.2358,0.5242,0.7103,NA,NA,NA,NA,All
SLC11A1,-0.074302052,96,0.377568782,0.67598461,0.083659685,0.2171,0.2496,0.293,1.174,NA,NA,NA,NA,All
SLC12A1,-0.210464071,100,0.010710681,0.104498875,0.030452784,0.8695,0.723,6.637,7.633,NA,NA,NA,NA,All
SLC12A2,0.089172981,94,0.294792893,0.604825968,0.035159116,0.2409,1.593,0.4443,0.2789,NA,NA,NA,NA,All
SLC12A3,-0.03473326,105,0.665910679,0.855675002,0.829054914,0.2619,0.2284,0.207,0.7903,NA,NA,NA,NA,All
SLC12A4,-0.042539915,81,0.643255966,0.843517991,0.698040343,0.2345,0.2947,0.2512,0.8524,NA,NA,NA,NA,All
SLC12A5,-0.168003228,85,0.060815376,0.274246045,0.313723809,0.3673,0.265,0.4396,1.197,NA,NA,NA,NA,All
SLC12A6,-0.161793477,74,0.092623443,0.339709965,0.137588743,4.409,0.2406,1.447,0.3281,NA,NA,NA,NA,All
SLC12A7,0.054280273,110,0.489607827,0.755484236,0.634186134,0.2821,2.994,0.2474,0.08263,NA,NA,NA,NA,All
SLC12A8,0.110469152,117,0.146779712,0.434282481,0.064129623,0.4174,0.2271,0.5807,1.391,NA,NA,NA,NA,All
SLC12A9,0.05703057,89,0.514671496,0.769880645,0.690669676,0.2358,1.85,0.299,0.1616,NA,NA,NA,NA,All
SLC13A1,0.046912123,104,0.56169541,0.797263348,0.872131194,0.2142,0.2153,0.2248,1.044,NA,NA,NA,NA,All
SLC13A2,0.039647156,120,0.597840829,0.818419901,0.862187016,0.2368,0.2042,0.1977,0.8347,NA,NA,NA,NA,All
SLC13A3,0.087207444,97,0.297812246,0.607791681,0.426491315,0.4152,0.2578,0.2618,0.6305,NA,NA,NA,NA,All
SLC13A4,0.008737808,99,0.916051072,0.966824521,0.801896656,0.2122,0.26,0.2415,0.9288,NA,NA,NA,NA,All
SLC13A5,0.25590264,104,0.001547441,0.033318895,0.104835878,717,0.259,25.11,0.03502,NA,NA,NA,NA,All
SLC14A1,-0.111472587,110,0.155918625,0.448053022,0.082492488,0.2053,1.279,0.5525,0.4321,NA,NA,NA,NA,All
SLC14A2,-0.302057203,118,6.75663427283292e-05,0.00430872,0.003069235,0.7657,1.915,231.1,120.7,NA,NA,NA,NA,All
SLC15A1,0.177710841,118,0.01906095,0.145634942,0.167281082,0.2145,83.69,5.757,0.06879,NA,NA,NA,NA,All
SLC15A2,-0.141999652,103,0.080468551,0.315515883,0.037698117,0.2997,0.9793,1.604,1.638,NA,NA,NA,NA,All
SLC15A3,0.001470843,108,0.985201505,0.994023413,0.985416441,0.2812,0.3237,0.2039,0.63,NA,NA,NA,NA,All
SLC15A4,0.176021733,91,0.041947341,0.223550152,0.058023427,0.3423,0.8192,2.309,2.819,NA,NA,NA,NA,All
SLC15A5,-0.261938444,82,0.004107003,0.059914168,0.778673719,27.31,0.2516,11.41,0.4179,NA,NA,NA,NA,All
SLC16A10,-0.187156067,101,0.022553154,0.159436096,0.155871964,1.698,0.6969,7.006,4.125,NA,NA,NA,NA,All
SLC16A11,0.088361497,99,0.286443476,0.599112622,0.469628232,0.2221,0.2123,0.2653,1.195,NA,NA,NA,NA,All
SLC16A12,0.159930097,99,0.053689936,0.255590019,0.040900594,3.01,0.212,2.161,0.7179,NA,NA,NA,NA,All
SLC16A13,0.161659469,94,0.057526878,0.265342502,0.087663965,5.675,0.4721,0.6894,0.1215,NA,NA,NA,NA,All
SLC16A14,0.186745182,89,0.032876698,0.196447446,0.642134756,65.56,1.184,3.681,0.05615,NA,NA,NA,NA,All
SLC16A2,0.104514907,63,0.317310508,0.626263041,0.118649736,0.2583,0.3013,0.3254,1.08,NA,NA,NA,NA,All
SLC16A3,0.019892051,82,0.827476394,0.932632579,0.778908571,0.3462,0.2576,0.2397,0.6923,NA,NA,NA,NA,All
SLC16A4,0.051718072,112,0.506444498,0.763911344,0.833337097,4.762,14.73,0.2094,0.01421,NA,NA,NA,NA,All
SLC16A5,-0.244752991,113,0.001586286,0.033863357,0.160846338,1.009,0.249,2.228,2.209,NA,NA,NA,NA,All
SLC16A6,-0.171186274,102,0.036011403,0.205744141,0.445753891,0.4446,1.036,3.31,3.194,NA,NA,NA,NA,All
SLC16A7,-0.009530879,101,0.907529429,0.964077126,0.990731667,0.2859,0.2498,0.2159,0.7551,NA,NA,NA,NA,All
SLC16A8,0.04103111,92,0.633507845,0.838886357,0.638099721,0.3141,0.2717,0.2501,0.7962,NA,NA,NA,NA,All
SLC16A9,0.127196686,90,0.143861509,0.429471414,0.023386814,0.2263,1.446,0.4673,0.3231,NA,NA,NA,NA,All
SLC17A1,-0.053011401,102,0.516133212,0.770897718,0.897364996,0.3141,10.11,0.3138,0.03105,NA,NA,NA,NA,All
SLC17A2,0.082062219,92,0.340290848,0.644621242,0.048977782,0.2198,0.2654,0.2681,1.01,NA,NA,NA,NA,All
SLC17A3,0.454759734,88,2.39473536435389e-07,9.96875115839095e-05,0.067434289,5991145,0.225,586858,0.09795,NA,NA,NA,NA,All
SLC17A4,0.270829045,97,0.001223584,0.028517315,0.080138774,48.07,0.5564,13.14,0.2734,NA,NA,NA,NA,All
SLC17A5,-0.021322121,93,0.803250701,0.921849824,0.822348076,0.418,0.4745,0.22,0.4636,NA,NA,NA,NA,All
SLC17A6,0.019455007,48,0.871560131,0.951219876,0.92627249,0.2952,0.364,0.3332,0.9153,NA,NA,NA,NA,All
SLC17A7,-0.193335343,37,0.160944954,0.456457434,0.228797455,2.231,0.4471,0.5262,0.2358,NA,NA,NA,NA,All
SLC17A8,-0.064932708,92,0.450525021,0.73053105,0.265046366,0.7749,0.435,0.2738,0.3533,NA,NA,NA,NA,All
SLC17A9,0.251635325,84,0.00525177,0.06934187,0.058405089,0.2792,3.446,15.16,4.398,NA,NA,NA,NA,All
SLC18A1,-0.136309837,109,0.08416104,0.323130106,0.036016156,3.134,0.2067,1.788,0.5704,NA,NA,NA,NA,All
SLC18A2,0.209172915,90,0.016238349,0.132976995,0.057238706,4.611,0.2236,5.443,1.18,NA,NA,NA,NA,All
SLC18A3,-0.041121287,80,0.65641723,0.851118268,0.79757313,0.247,0.3796,0.2506,0.6601,NA,NA,NA,NA,All
SLC18B1,-0.157213105,102,0.054148544,0.256956962,0.090595989,17.53,0.299,2.202,0.1257,NA,NA,NA,NA,All
SLC19A1,0.0360166,94,0.672187534,0.859138796,0.93660866,0.8117,0.3816,0.2568,0.3164,NA,NA,NA,NA,All
SLC19A2,0.079392259,91,0.358918586,0.66202724,0.293125349,0.5094,0.2339,0.3861,0.758,NA,NA,NA,NA,All
SLC19A3,0.074611325,114,0.333469864,0.639705502,0.194552493,0.246,0.2181,0.2064,0.839,NA,NA,NA,NA,All
SLC1A1,-0.037484922,93,0.661386578,0.853192671,0.915667328,0.2473,0.2177,0.3082,1.246,NA,NA,NA,NA,All
SLC1A2,-0.006199874,75,0.948262722,0.979910713,0.993987448,0.2746,0.2564,0.239,0.8701,NA,NA,NA,NA,All
SLC1A3,0.079230448,60,0.459772647,0.736284628,0.325607886,0.6064,0.7003,0.3072,0.4387,NA,NA,NA,NA,All
SLC1A4,-0.015731668,84,0.861474367,0.947062204,0.876446481,0.235,0.2377,0.2281,0.9596,NA,NA,NA,NA,All
SLC1A6,-0.288525487,72,0.003105625,0.050205932,0.031103879,6.619,0.2438,11.49,1.736,NA,NA,NA,NA,All
SLC1A7,0.050619724,111,0.51742949,0.771485259,0.16119163,0.6756,0.2013,0.5109,0.7563,NA,NA,NA,NA,All
SLC20A1,-0.056549901,83,0.533005654,0.781892823,0.645364783,1.495,0.2931,0.368,0.2461,NA,NA,NA,NA,All
SLC22A1,-0.097477427,112,0.210489364,0.517537917,0.175137967,0.2061,0.9966,0.4438,0.4453,NA,NA,NA,NA,All
SLC22A11,-0.110450217,77,0.24131684,0.555254747,0.688901518,0.486,0.2745,0.4827,0.9931,NA,NA,NA,NA,All
SLC22A12,-0.26308539,69,0.008340024,0.091434219,0.941555043,309.7,2.516,3.99,0.01288,NA,NA,NA,NA,All
SLC22A13,-0.168834474,68,0.09290856,0.340422414,0.26612554,0.8687,NA,0.9921,NA,NA,NA,NA,NA,All
SLC22A14,0.110420663,105,0.169866534,0.46482272,0.147535121,0.2197,1.386,0.4992,0.3602,NA,NA,NA,NA,All
SLC22A15,0.130647776,96,0.120775559,0.391074238,0.164264474,2.26,0.7859,0.3435,0.1519,NA,NA,NA,NA,All
SLC22A16,-0.183026638,109,0.02039852,0.151557869,0.134348382,0.3899,1.359,2.852,2.098,NA,NA,NA,NA,All
SLC22A17,-0.172375378,61,0.104791585,0.36335185,0.808101616,2.079,0.2676,0.616,0.2963,NA,NA,NA,NA,All
SLC22A18,0.129391801,112,0.096472382,0.346910145,0.10705226,0.6583,0.2009,0.4322,0.6565,NA,NA,NA,NA,All
SLC22A2,-0.032501871,113,0.674908743,0.860495202,0.773232686,0.2325,1.544,0.2797,0.1812,NA,NA,NA,NA,All
SLC22A23,-0.096574629,69,0.332862586,0.639062792,0.764896813,22.57,10.55,0.3576,0.01585,NA,NA,NA,NA,All
SLC22A3,-0.098403089,81,0.284008132,0.59722466,0.220981246,0.3235,0.2605,0.3367,1.041,NA,NA,NA,NA,All
SLC22A31,0.383773563,82,2.61472792909222e-05,0.002239104,0.163890819,138.8,0.8313,823.9,5.934,NA,NA,NA,NA,All
SLC22A4,-0.074497771,96,0.376313587,0.674575007,0.172015785,0.3855,0.2182,0.2832,0.7347,Local diet adaptation,Rees et al. 2038,Y,N,Selection_Diet
SLC22A5,0.138381309,101,0.091701539,0.33789999,0.479906331,1.052,0.2441,0.8734,0.8306,Local diet adaptation,Rees et al. 2039,Y,N,Selection_Diet
SLC22A6,-0.258865647,100,0.001695855,0.03547474,0.07078711,1.707,0.6926,18.39,10.78,NA,NA,NA,NA,All
SLC22A7,0.051824103,96,0.538261138,0.78535502,0.852940593,2.601,62.7,0.2187,0.003488,NA,NA,NA,NA,All
SLC22A8,0.049276946,93,0.564760037,0.79877531,0.863763155,2.416,1.314,0.2557,0.1058,NA,NA,NA,NA,All
SLC23A1,-0.026537324,95,0.753925316,0.898403689,0.962933468,0.2598,0.3306,0.2369,0.7167,NA,NA,NA,NA,All
SLC23A2,0.041194292,55,0.713303174,0.879545125,0.919978008,0.5577,0.4197,0.3619,0.649,NA,NA,NA,NA,All
SLC23A3,-0.109947627,116,0.150473902,0.439959856,0.748997806,0.1995,2.682,0.6288,0.2345,NA,NA,NA,NA,All
SLC24A2,0.052359314,91,0.545149153,0.789486394,0.161595052,0.2304,0.2466,0.2378,0.9645,NA,NA,NA,NA,All
SLC24A3,-0.282479193,70,0.004324177,0.061970936,0.152197343,32.22,0.2937,11.99,0.3721,NA,NA,NA,NA,All
SLC24A4,0.105788532,91,0.221536275,0.531202574,0.310399008,0.2198,1.259,0.5605,0.4452,NA,NA,NA,NA,All
SLC24A5,0.137764234,103,0.089916729,0.335113677,0.071953672,3.044,0.3768,0.6774,0.2226,NA,NA,NA,NA,All
SLC25A1,-0.116935044,50,0.32088933,0.628982862,0.666355634,0.5278,0.2961,0.5664,1.073,NA,NA,NA,NA,All
SLC25A10,0.04454354,63,0.669967088,0.857628859,0.861479254,1.337,0.771,0.3374,0.2524,NA,NA,NA,NA,All
SLC25A11,0.090269021,57,0.412121431,0.703984015,0.377187488,0.269,1.028,0.2937,0.2858,NA,NA,NA,NA,All
SLC25A12,-0.203898775,61,0.055023503,0.259139605,0.149539183,6.515,0.2808,1.234,0.1895,NA,NA,NA,NA,All
SLC25A13,0.114650346,97,0.1710722,0.466719094,0.332534003,0.2611,0.2633,0.3724,1.415,NA,NA,NA,NA,All
SLC25A14,-0.00221681,36,0.98735903,0.995195213,0.99999722,0.3537,0.3402,0.3238,0.9156,NA,NA,NA,NA,All
SLC25A15,-0.063821623,56,0.565574578,0.799123251,0.438131951,0.351,0.2704,0.3288,0.9368,NA,NA,NA,NA,All
SLC25A16,-0.091304909,54,0.419859499,0.708799645,0.626758753,0.3018,0.394,0.4414,1.12,NA,NA,NA,NA,All
SLC25A17,-0.135582275,71,0.167702686,0.461559679,0.436874729,1.137,0.2453,0.8187,0.7203,NA,NA,NA,NA,All
SLC25A18,-0.267189097,39,0.046386593,0.23486915,0.156336161,26.3,NA,4.12,NA,NA,NA,NA,NA,All
SLC25A19,0.13033911,87,0.141039105,0.42553091,0.038518058,0.6631,0.2258,0.9834,1.483,NA,NA,NA,NA,All
SLC25A2,0.195764938,76,0.039124644,0.216195398,0.089418323,0.2767,0.9958,1.771,1.779,NA,NA,NA,NA,All
SLC25A20,-0.055189157,66,0.588599129,0.812148656,0.682808817,0.2576,0.2694,0.2812,1.044,NA,NA,NA,NA,All
SLC25A21,0.028930466,77,0.758914637,0.901124693,0.896059965,0.3141,0.3269,0.2383,0.7289,NA,NA,NA,NA,All
SLC25A22,0.146981521,77,0.118939369,0.387989854,0.101077559,0.2362,4.573,0.9195,0.2011,NA,NA,NA,NA,All
SLC25A23,0.009219625,93,0.914211112,0.9661393,0.868849676,0.4266,0.4201,0.2233,0.5234,NA,NA,NA,NA,All
SLC25A24,0.212205725,89,0.015330515,0.128133353,0.376981102,107.1,0.2453,6.878,0.06422,NA,NA,NA,NA,All
SLC25A25,-0.086613114,65,0.399688231,0.693019702,0.873480048,1.292,0.2991,0.4902,0.3793,NA,NA,NA,NA,All
SLC25A26,0.020802403,76,0.826490071,0.93231315,0.912653228,0.2498,0.3649,0.2381,0.6524,NA,NA,NA,NA,All
SLC25A27,-0.272782714,62,0.009638695,0.098396105,0.25109733,1.818,0.5079,19.45,10.7,NA,NA,NA,NA,All
SLC25A28,-0.121682422,43,0.339685967,0.644207241,0.380579526,0.4581,0.4981,0.8681,1.743,NA,NA,NA,NA,All
SLC25A29,0.003621549,69,0.971032264,0.989318751,0.958021825,0.3422,0.8162,0.2518,0.3086,NA,NA,NA,NA,All
SLC25A3,-0.087479304,61,0.41040474,0.702375543,0.692621917,0.6641,0.2725,0.6119,0.9214,NA,NA,NA,NA,All
SLC25A30,0.025787051,65,0.802015854,0.921506375,0.495293314,0.2539,0.256,0.2631,1.028,NA,NA,NA,NA,All
SLC25A31,0.336804018,69,0.000732359,0.020848551,0.021672863,0.2727,973.3,171.6,0.1763,NA,NA,NA,NA,All
SLC25A32,-0.01387033,72,0.886956466,0.957011275,0.97241974,0.4256,0.9626,0.2884,0.2996,NA,NA,NA,NA,All
SLC25A33,0.075071978,59,0.48745329,0.754568227,0.473197855,0.6791,0.9633,0.3651,0.379,NA,NA,NA,NA,All
SLC25A34,0.020927681,78,0.823159068,0.930376483,0.549548169,0.2376,0.2442,0.2559,1.048,NA,NA,NA,NA,All
SLC25A35,0.154920437,77,0.100287747,0.354544037,0.087956184,0.3004,0.2612,0.4239,1.411,NA,NA,NA,NA,All
SLC25A36,-0.115571791,54,0.30722637,0.616561732,0.417408717,1.172,0.2884,0.5317,0.4535,NA,NA,NA,NA,All
SLC25A37,0.046209094,62,0.661028282,0.853046539,0.862381754,0.4031,0.2937,0.3016,0.7481,NA,NA,NA,NA,All
SLC25A38,-0.101156696,85,0.258956828,0.571367347,0.500855963,0.2305,0.9111,0.2854,0.3133,NA,NA,NA,NA,All
SLC25A39,-0.117248248,89,0.180383513,0.478846045,0.065242664,0.5372,0.2431,0.3361,0.6256,NA,NA,NA,NA,All
SLC25A4,-0.034325976,41,0.792779143,0.917136656,0.857204964,0.4301,0.3755,0.359,0.8346,NA,NA,NA,NA,All
SLC25A40,0.002887624,89,0.973681411,0.990523835,0.975780789,0.2228,0.2308,0.2221,0.9625,NA,NA,NA,NA,All
SLC25A41,0.04217842,86,0.635844825,0.840042633,0.694170677,0.2389,65.18,0.3754,0.005759,NA,NA,NA,NA,All
SLC25A42,-0.060022548,66,0.556374169,0.794342704,0.500644232,0.2528,0.2793,0.3114,1.115,NA,NA,NA,NA,All
SLC25A43,0.004069785,70,0.967207148,0.987973984,0.983602544,0.4321,1.052,0.248,0.2357,NA,NA,NA,NA,All
SLC25A44,0.182081204,61,0.086641383,0.328046427,0.201524335,44.63,1.156,1.176,0.02636,NA,NA,NA,NA,All
SLC25A45,0.223975013,93,0.008868608,0.094092928,0.091072091,0.3645,23.97,6.988,0.2916,NA,NA,NA,NA,All
SLC25A46,-0.355619625,87,5.91822757368421e-05,0.003960045,0.14977845,5.016,0.4294,20.84,4.156,NA,NA,NA,NA,All
SLC25A47,-0.125770484,102,0.123434359,0.3959305,0.664269097,0.5515,0.2499,0.7013,1.272,NA,NA,NA,NA,All
SLC25A48,0.019762872,115,0.796934273,0.919562806,0.57495738,0.449,0.4686,0.207,0.4418,NA,NA,NA,NA,All
SLC25A5,NA,NA,NA,NA,NA,0.6786,0.423,1.396,2.057,NA,NA,NA,NA,All
SLC25A51,-0.243599383,65,0.017854293,0.140014611,0.055042312,1.234,0.3083,2.858,2.316,NA,NA,NA,NA,All
SLC25A52,-0.248659014,71,0.01139844,0.1087364,0.043621072,5.44,0.2494,6.888,1.266,NA,NA,NA,NA,All
SLC25A53,-0.037533913,71,0.702514821,0.87397354,0.924790935,0.2458,0.2826,0.3059,1.082,NA,NA,NA,NA,All
SLC25A6,-0.048133346,45,0.698931381,0.872660633,0.721418603,1.08,0.4237,0.3271,0.3028,NA,NA,NA,NA,All
SLC26A1,-0.068949298,115,0.369327204,0.669603196,0.78440795,0.2186,0.3114,0.3773,1.212,NA,NA,NA,NA,All
SLC26A10,0.065745491,110,0.402663799,0.695598812,0.748221715,1.121,2.038,0.2174,0.1067,NA,NA,NA,NA,All
SLC26A11,0.102762894,90,0.237680915,0.551510061,0.771418599,4.277,2.538,0.3616,0.08455,NA,NA,NA,NA,All
SLC26A2,0.102338107,114,0.18465545,0.484831128,0.673779749,0.3596,0.245,0.4396,1.223,NA,NA,NA,NA,All
SLC26A3,-0.255208484,107,0.001359457,0.030498233,0.004656455,0.672,0.858,25.74,30.01,NA,NA,NA,NA,All
SLC26A4,-0.007690338,104,0.924209096,0.971739109,0.967115677,0.2711,0.2227,0.2285,0.8431,NA,NA,NA,NA,All
SLC26A5,0.090319304,93,0.291263993,0.601603632,0.178808956,0.2203,2.346,0.5016,0.2138,NA,NA,NA,NA,All
SLC26A6,-0.066324382,116,0.38573994,0.681325208,0.71479226,2.347,1330,0.2564,0.0001927,NA,NA,NA,NA,All
SLC26A7,-0.262790949,105,0.00108794,0.02690407,0.176097286,0.3325,10.03,10.01,0.9976,NA,NA,NA,NA,All
SLC26A8,-0.09077459,121,0.225180529,0.535728751,0.052413885,0.2227,0.6528,0.2855,0.4373,NA,NA,NA,NA,All
SLC26A9,-0.120683378,122,0.105394104,0.363841521,0.150944307,0.2071,0.3604,0.3428,0.9512,NA,NA,NA,NA,All
SLC27A1,-0.03943866,95,0.641313821,0.8424552,0.76564941,0.556,0.6192,0.2326,0.3757,NA,NA,NA,NA,All
SLC27A2,0.019563825,117,0.797202892,0.919562806,0.88282896,0.9154,1.707,0.2102,0.1231,NA,NA,NA,NA,All
SLC27A3,0.109065945,99,0.188266052,0.489740136,0.745735089,2973877,182.8,2.649,8.909e-07,NA,NA,NA,NA,All
SLC27A4,-0.211035992,109,0.007499438,0.085205892,0.022769715,2.743,0.2216,7.854,2.863,NA,NA,NA,NA,All
SLC27A5,-0.028595882,111,0.714605924,0.880522017,0.850266012,0.3376,0.4181,0.2026,0.4847,NA,NA,NA,NA,All
SLC27A6,-0.084572012,107,0.288479121,0.599855003,0.642769476,0.214,0.2099,0.3271,1.528,NA,NA,NA,NA,All
SLC28A1,0.322899072,112,3.35323059207974e-05,0.002649716,0.126191663,9.92,14.88,1795,120.7,NA,NA,NA,NA,All
SLC28A2,-0.02778459,77,0.76818452,0.904831182,0.976200566,NA,0.2716,0.2441,NA,NA,NA,NA,NA,All
SLC28A3,0.036239772,122,0.626796659,0.835782955,0.961205951,0.2637,0.2376,0.3923,1.487,NA,NA,NA,NA,All
SLC29A1,0.097633612,95,0.24879511,0.563072481,0.123651941,0.3293,0.3388,0.4653,1.373,NA,NA,NA,NA,All
SLC29A2,-0.120263632,101,0.142734213,0.42776496,0.114693249,2.222,0.2129,1.471,0.662,NA,NA,NA,NA,All
SLC29A3,0.045950227,122,0.537545604,0.784769452,0.832413212,3.565,0.4909,0.3707,0.104,NA,NA,NA,NA,All
SLC29A4,-0.019080306,100,0.817035302,0.927601953,0.975980513,0.2279,0.2126,0.2108,0.925,NA,NA,NA,NA,All
SLC2A1,0.008401902,72,0.931378401,0.974138668,0.82581761,0.4318,0.4695,0.248,0.5284,NA,NA,NA,NA,All
SLC2A10,0.056611184,116,0.459092023,0.736228029,0.672239702,43.02,3.541,0.3982,0.009257,NA,NA,NA,NA,All
SLC2A11,-0.026796369,109,0.734226867,0.889572628,0.921313397,1.705,5.773,0.2039,0.03532,NA,NA,NA,NA,All
SLC2A12,0.042509363,105,0.597199948,0.818176605,0.745636745,3.378,6.977,0.2291,0.03283,NA,NA,NA,NA,All
SLC2A13,0.237966186,82,0.009129095,0.095536746,0.036249523,11.19,0.2495,5.635,0.5036,NA,NA,NA,NA,All
SLC2A14,0.127978892,95,0.13060269,0.40834799,0.171928986,0.2455,0.5422,0.5256,0.9693,NA,NA,NA,NA,All
SLC2A2,-0.189540804,107,0.017363069,0.137924659,0.0199181,0.5165,0.5573,3.626,6.506,NA,NA,NA,NA,All
SLC2A3,0.110907875,95,0.190168457,0.491695048,0.113452019,0.2252,0.5469,0.4333,0.7923,NA,NA,NA,NA,All
SLC2A4,0.263952185,87,0.002874606,0.047865385,0.208625114,19.29,0.295,22.52,1.167,NA,NA,NA,NA,All
SLC2A4RG,0.113611456,85,0.204851771,0.510205856,0.860386991,0.5119,0.2394,0.5364,1.048,NA,NA,NA,NA,All
SLC2A5,0.059076168,107,0.458411301,0.736149995,0.50566731,0.2512,0.2073,0.2669,1.063,NA,NA,NA,NA,All
SLC2A6,-0.003715103,96,0.964809359,0.986937409,0.981740757,0.2294,0.2407,0.2148,0.8924,NA,NA,NA,NA,All
SLC2A7,NA,NA,NA,NA,NA,0.9726,0.5289,0.4364,0.4487,NA,NA,NA,NA,All
SLC2A8,0.013003162,107,0.870358781,0.951016894,0.79449431,0.268,0.2387,0.2221,0.829,NA,NA,NA,NA,All
SLC2A9,-0.004460408,101,0.956648211,0.984494939,0.990802723,0.2122,0.2123,0.2099,0.9887,NA,NA,NA,NA,All
SLC30A1,-0.019169894,79,0.836748676,0.935620886,0.920755233,0.2446,0.4404,0.2514,0.571,NA,NA,NA,NA,All
SLC30A10,-0.048915518,96,0.561305634,0.79709336,0.952492284,0.2178,0.3123,0.2522,0.8075,NA,NA,NA,NA,All
SLC30A2,-0.178083288,101,0.029980485,0.186762081,0.122752926,3.958,0.2319,1.943,0.4908,NA,NA,NA,NA,All
SLC30A3,-0.054526315,76,0.565581341,0.799123251,0.457551416,0.2844,0.2375,0.2935,1.032,NA,NA,NA,NA,All
SLC30A4,0.112873007,75,0.237467133,0.551295639,0.434512187,0.2731,0.2396,0.251,0.9191,NA,NA,NA,NA,All
SLC30A5,-0.090738494,96,0.281222088,0.594252511,0.300807796,0.308,0.2483,0.4711,1.53,NA,NA,NA,NA,All
SLC30A6,0.188719392,78,0.043872461,0.22805158,0.021508194,0.4616,0.236,0.5929,1.284,NA,NA,NA,NA,All
SLC30A7,-0.101818424,53,0.372998484,0.672249582,0.834829037,0.6697,0.3427,0.393,0.5868,NA,NA,NA,NA,All
SLC30A8,-0.086475866,99,0.296851662,0.60698854,0.962658177,1.9,0.2399,0.5445,0.2866,NA,NA,NA,NA,All
SLC30A9,0.053427693,79,0.565774569,0.799123251,0.449989009,0.2706,0.2336,0.2946,1.089,Local diet adaptation,Rees et al. 2035,Y,N,Selection_Diet
SLC31A1,0.036253437,66,0.722370465,0.884064672,0.870143214,0.2738,0.4319,0.2597,0.6013,NA,NA,NA,NA,All
SLC31A2,0.182254871,78,0.051621883,0.250114947,0.058742265,0.3361,0.4454,1.25,2.807,NA,NA,NA,NA,All
SLC32A1,-0.042595363,39,0.750831884,0.896356776,0.88758763,0.9172,0.4974,0.4215,0.4595,NA,NA,NA,NA,All
SLC33A1,-0.083599085,81,0.362727102,0.664689209,0.490479704,0.2686,0.232,0.2489,0.9267,NA,NA,NA,NA,All
SLC34A1,-0.043094642,109,0.585061575,0.810101891,0.171064647,0.221,0.2041,0.2371,1.073,NA,NA,NA,NA,All
SLC34A2,-0.014448931,120,0.847551087,0.941090718,0.848586828,0.1972,0.1961,0.1944,0.9858,NA,NA,NA,NA,All
SLC34A3,-0.171631436,107,0.031228617,0.191014752,0.768806538,4.849,0.2168,1.26,0.2598,NA,NA,NA,NA,All
SLC35A1,-0.022747342,72,0.81565541,0.926914151,0.855669876,0.3155,0.2523,0.2655,0.8417,NA,NA,NA,NA,All
SLC35A2,0.081191741,79,0.382817458,0.678843027,0.125429326,0.5854,0.6226,0.3334,0.5356,NA,NA,NA,NA,All
SLC35A3,-0.031511451,70,0.750245273,0.896084774,0.838200334,0.2487,0.2972,0.2461,0.8281,NA,NA,NA,NA,All
SLC35A4,0.045794091,77,0.627107052,0.835788789,0.870443406,0.2363,0.2592,0.2563,0.9887,NA,NA,NA,NA,All
SLC35A5,0.044060111,77,0.640208053,0.841666627,0.786431571,1.08,0.8521,0.2502,0.2317,NA,NA,NA,NA,All
SLC35B1,-0.064537524,64,0.533592269,0.782045354,0.256038002,0.27,0.2866,0.2891,1.009,NA,NA,NA,NA,All
SLC35B2,-0.169762681,71,0.084090936,0.322959191,0.041684424,0.8396,0.2467,1.175,1.4,NA,NA,NA,NA,All
SLC35B3,-0.121874082,91,0.159032806,0.453264669,0.760691788,0.7761,0.2374,0.5077,0.6541,NA,NA,NA,NA,All
SLC35B4,0.07024454,79,0.45022071,0.730274657,0.839140147,1.548,3.091,0.2385,0.07717,NA,NA,NA,NA,All
SLC35C1,-0.152318775,84,0.091116129,0.337318754,0.04333924,1.468,0.2315,1.257,0.8563,NA,NA,NA,NA,All
SLC35C2,0.03310107,82,0.716859888,0.88102307,0.943188808,0.2311,0.2355,0.2346,0.996,NA,NA,NA,NA,All
SLC35D1,-0.133536377,50,0.256980628,0.56952258,0.136902017,1.866,0.2858,0.7771,0.4164,NA,NA,NA,NA,All
SLC35D2,0.058142179,92,0.499274458,0.761684367,0.850406904,0.22,0.2389,0.2234,0.935,NA,NA,NA,NA,All
